ricf_oid_2013	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_rng	ba_reg	ba_sup	ba_fdt	ba_fnd	ba_add	ba_zip	ba_prv	ba_ct	ba_gis	ba_wb	ba_chr	ba_sec	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_gvm	ba_pgv	ba_nfe	ba_nv	ba_evl	ba_sf	ba_tax	ba_src	ba_bn	ba_sn	ba_mn	ba_brn	ba_rn	ba_pbl	ba_pm	ba_po	ba_ai	ba_ap	ba_hr	ba_nc	ba_fr	ba_tr	ba_rcp	ba_mt	ba_trn	ricf_oid	ba_uscc
43	2013	上海复旦大学教育发展基金会	Fudan University Education Development Fo	沪民基证字第0001号	501779147	遵守宪法和法律、法规和国家政策，遵守社会道德风尚，汇八方涓流，襄教育事业，支持和推动本市高等教育的长远建设和发展。	接受和管理社会各界给予复旦大学的捐赠，用于更新教学、科研、图书及信息设施，延揽中外名师，扶植重点学科、重点实验室，奖励作出突出贡献的优秀教职工，奖助品学兼优的学生及家庭困	非公募	地方	省级民政部门	上海市教育委员会	2004-06-01 00:00:00	400万元		200433	Shanghai Shi	Shanghai	[31.299767, 121.50192]	http://cn.fuedf.org	冯晓源	冯晓源	卜洪晓	秘书处信息部副部长	021-55664305	021-65648138	service@fuedf.org			8.0	35.0	4A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			43.0	53310000501779147H
44	2013	上海复星公益基金会	Shanghai Fuxing Charitable Foundation	沪民基证字第0135号	501782119		自然灾害救助、扶贫助残、资助文化公益事业、资助教育公益事业、资助青年创业就业及其他社会公益事业。	非公募	地方	省级民政部门	上海市工商业联合会	2012-09-29 00:00:00	1,000万元		200010	Shanghai Shi	Shanghai	[31.222378, 121.50425]	http://www.fosun.com	吴平	吴智亮	吴智亮	秘书长	021-23156610	021-23156714				1.0	60.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			44.0	53310000501782119R
45	2013	上海夏征农民族文化教育发展基金会	Shanghai Xiazhengnong National Culture Ed	沪民基证字第0085号	501780666	在党和国家有关方针政策、法律法规指导下，借助夏征农同志的崇高威望，团聚社会力量，支持和促进文化及教育事业，弘扬中华民族传统文化精神，推动民族文化的传承和教育，为实现习近平	接受海内外捐赠，资助民族民俗文化教育项目和贫困教育工作者、贫困学生，支持革命老区文化教育事业等	非公募	地方	省级民政部门	中共上海市委宣传部	2008-05-30 00:00:00	200万元		200052	Shanghai Shi	Shanghai	[31.24984, 121.39555]	http://www.shzgh.org/xznjjh/node3/index.html	夏晓梅	陆文达	陆文达	秘书长	021-52717012	021-62220582	622800005xzn@sina.com			2.0	3.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			45.0	53310000501780666K
46	2013	上海外国语大学教育发展基金会	Shanghai International Studies University	沪民基证字第0100号	501781095	根据《中国教育改革和发展纲要》精神，高举科教兴国旗帜，努力寻求海内外热心支持教育事业的企事业单位、社会团体和个人对学校进行社会办学的支持；以多渠道筹措办学经费，帮助学校改	接受捐赠，管理基金，资助学校教育事业，奖励优秀教师与学生，支持其它公益事业发展。	非公募	地方	省级民政部门	上海市教育委员会	2009-12-17 00:00:00	200万元		200083	Shanghai Shi	Shanghai	[31.275293, 121.48289]	http://alumni.shisu.edu.cn/s/2/main.jspy	吴友富	孟庆和	杨晴琦	副秘书长	021-35372989	021-35372989	tangjx@shisu.edu.cn			4.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			46.0	53310000501781095Q
47	2013	上海大成慈善基金会	Shanghai Dacheng Charity Foundtaion	沪民基证字第0155号	501782725			非公募	地方	省级民政部门	广东省民政厅	2013-12-10 00:00:00	200万元		200030	Shanghai Shi	Shanghai	[31.204983, 121.44701]		马莉	马莉	孙宓	办公室主任	021-64410993	021-64710805				2.0	0.0	未参评	0.0	无																			47.0	53310000501782725G
48	2013	上海天下文化发展基金会	Shanghai Tianxia Cultural Development Fou	沪民基证字第0101号	501781116		资助文化公益事业，扶植优秀文化项目	非公募	地方	省级民政部门	中共上海市委宣传部	2009-12-17 00:00:00	200万元		200060	Shanghai Shi	Shanghai	[31.24984, 121.39555]		许力	罗丽	王芳	联络员	021-54890538	021-54890658				2.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			48.0	533100005017811169
49	2013	上海宇兴爱心慈善基金会	Shanghai Yuxing Charity Foundation	沪民基证字第0151号	501782557		资助和帮助贫困人群的健康与生活需求；助养老人、扶助孤儿；资助与宣传社区公益服务的理念和方式，完善、提高社区服务功能。	非公募	地方	省级民政部门	上海市民政局	2013-07-15 00:00:00	200万元		200092	Shanghai Shi	Shanghai	[31.272827, 121.49864]		钱凌英	刘骏	袁幼麟	联络员	021-65087920	021-65087920				0.0	6.0	未参评	0.0	无																			49.0	53310000501782557E
50	2013	上海宋庆龄基金会	Shanghai Soong Ching Ling Foundation	沪民基证字第0053号	501775082	继承和弘扬宋庆龄思想和精神，在教育、文化、医疗卫生和社会可持续发展领域，通过开发、实施、支持和资助各类公益项目，发挥宋庆龄创办机构的专业优势，改善妇女、儿童等各类受助人群	募集、增值与管理基金，接受捐赠，开发、实施、支持和资助与妇女儿童等弱势群体相关的公益项目。	公募	地方	省级民政部门	中国福利会	1993-12-08 00:00:00	400万元		200031	Shanghai Shi	Shanghai	[31.228971, 121.45334]	http://www.ssclf.org	鲁平	管建华	管建华	秘书长	021-64711073	021-64333740	guanjh22@163.com			8.0	1290.0	5A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			50.0	53310000501775082K
51	2013	上海富国环保公益基金会	Shanghai Fuguo Environment Protection Fou	沪民基证字第0130号	50178187X		资助环保低碳活动，支持各类环保事业及其他社会公益项目。	非公募	地方	省级民政部门	上海市环境保护局	2012-05-15 00:00:00			200120	Shanghai Shi	Shanghai	[31.237213, 121.502075]	http://www.fullgoal.com.cn/mini/201211_csr/index.h	林志松	吴军娥	王君莉	电商第三方客户经理	021-20361641	021-20361818	environment@fullgoal.com.cn			0.0	0.0	未参评	0.0	无																			51.0	5331000050178187XE
52	2013	上海工商界爱国建设特种基金会	Shanghai Business Special Foundation for 	沪民基证字第0043号	50177387X	发扬上海工商界爱国建设的传统精神，为上海的改革、发展、稳定和促进民营企业发展作贡献。-	资助民营企业培训人才，资助社会教育、福利事业和为老龄事业服务。	非公募	地方	省级民政部门	上海市商务委员会	1993-01-08 00:00:00	10,000万元		200030	Shanghai Shi	Shanghai	[31.188244, 121.44744]		任文燕	倪乐园	丁义正	副秘书长兼办公室主任	021-64811953	021-64393171	ajjjh09@sina.com			2.0	5.0	3A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			52.0	5331000050177387X5
53	2013	上海巴斯德健康研究基金会	Shanghai Baside Health Reseach Foundation	沪民基证字第0069号	501780252	终以和平的科学目标为目的，通过汇聚政府、社会、企业和个人的力量，发展和促进在传染性疾病方面的研究，为中国的公共健康事业服务。	募集、管理基金，支持传染性疾病和传统中药的研发及成果的产业化。	非公募	地方	省级民政部门	上海市科学技术委员会	2007-03-14 00:00:00	200万元		200022	Shanghai Shi	Shanghai	[31.204473, 121.467606]	http://www.imore.net/index/npo/aboutus.html?orgId=629	朱正红	袁泉	高明	秘书长助理	021-50272737	021-50272737	sphrf2006@gmail.com			2.0	30.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			53.0	53310000501780252F
54	2013	上海市中小学幼儿教师奖励基金会	Shanghai Middle School Teacher Reward Fou	沪民基证字第0045号	501772199	表彰中小学幼儿教师的功绩，提高教师的社会地位和待遇，鼓励他们教书育人，为人师表，忠诚于人民的教育事业，以全面提高教育质量，促进本市基础教育事业的发展，推动全社会关心和支持	募集、管理和使用基金；评选、表彰优秀教师；举办符合本会宗旨的实事。	公募	地方	省级民政部门	上海市教育委员会	2003-04-07 00:00:00	3,600万元		200041	Shanghai Shi	Shanghai	[31.231583, 121.45286]	http://jsjl.edu.sh.cn	钱景林	黄良汉	史国明	秘书处处长	021-62562717	021-62562717	jjh1987@126.com			5.0	0.0	4A	0.0	无																			54.0	53310000501772199A
55	2013	上海市九段沙湿地自然保护基金会	Shanghai Jiuduansha Wetland Protection Fo	沪民基证字第0019号	501779526	遵守宪法、法律、法规和国家政策，遵守社会道德风尚，统筹人与自然的和谐发展，动员社会力量参与上海九段沙湿地自然生态保护公益事业。	筹措资金、管理资金、使用资金，资助九段沙湿地生态保护和建设。	公募	地方	省级民政部门	上海市环境保护局	2005-03-17 00:00:00	450万元		200136	Shanghai Shi	Shanghai	[31.252481, 121.56737]	http://www.jiuduansha.org.cn/cn/news/news.asp?NewsId=58	吴震	张泰	张泰	秘书长	021-50341422	021-58502213				0.0	4.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			55.0	533100005017795263
56	2013	上海市人口福利基金会	Shanghai Population Welfare Foundation  	沪民基证字第0018号	501772359	关爱社会，造福人类，着眼“优生、优育、优教”，致力提高人口素质，重点帮助困难群体，积极开展公益活动，促进人口福利事业发展。	筹集、管理基金，开展促进生殖健康、生育关怀、助学、助教、助医、扶贫帮困等公益项目；奖励对人口福利事业作出重大贡献者。	公募	地方	省级民政部门	上海市教育委员会	1992-03-18 00:00:00	600万元		200040	Shanghai Shi	Shanghai	[31.215899, 121.4596]	http://www.spwf.org	柴俊勇	孙荣初	成燕	办公室副主任	021-54030818	021-62108911				4.0	407.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			56.0	53310000501772359H
57	2013	上海市体育发展基金会	Shanghai Sports Development Foundation	沪民基证字第0074号	50177301X	动员社会力量，筹措体育发展资金，资助公益体育，扶植和保障体育人才，促进体育交流，致力于上海体育事业的繁荣发展。	筹集资金，资助公益体育，扶植体育人才，促进体育界和基金会间交流，办理政府委托的相关事宜等。	公募	地方	省级民政部门	上海市体育局	1992-07-21 00:00:00	420万元		200070	Shanghai Shi	Shanghai	[31.242466, 121.46688]	http://www.ssdf.org.cn	赵英华	姜军	张伟平	财务部主任	021-63806861	021-63810635	ssdf@ssdf.org.cn			14.0	30.0	4A	6.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			57.0	5331000050177301XH
58	2013	上海市促进科技成果转化基金会	The Transformation of Scientific and Tech	沪民基证字第0082号	501780623	鼓励创新创业，完善创新环境；推动成果转化，促进教育改革；激发创新潜能，造就创新人才-	筹集、管理、使用基金；为科技成果转化项目提供资助；奖励促进科技成果转化成绩卓著的集体和个人。	非公募	地方	省级民政部门	上海市政协办公厅	2008-05-07 00:00:00	2,000万元		200041	Shanghai Shi	Shanghai	[31.23236, 121.4619]		李宣海	张其标	周焕忠	办公室副主任	021-23188489	021-62581611				2.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			58.0	533100005017806236
59	2013	上海市儿童健康基金会	Shanghai Foundation for Children's Health	沪民基证字第0038号	501772885	凝聚社会爱心关怀，推动全社会关心和支持儿童健康公益事业；促进本市儿童健康事业的发展，不断提高儿童健康水平。  	筹集管理基金,开展科普宣传,资助调查科研,奖励先进,加强交流合作,参与社会救助.	公募	地方	省级民政部门	上海市卫生局	1992-07-07 00:00:00	550万元		200060	Shanghai Shi	Shanghai	[31.218815, 121.500305]	http://www.sh-schf.com	李忠尧	叶家宪	叶家宪	秘书长	021-62985940	021-62985940	schf1989@yahoo.com.cn			0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			59.0	53310000501772885L
60	2013	上海市儿童基金会	Shanghai Foundation for children	沪民基证字第0027号	501773474	倡导“为儿童办实事、做表率”的社会风尚，促进本市儿童事业的蓬勃发展。	接受捐赠，资助有利于促进儿童健康成长的活动和相关研究等。	公募	地方	省级民政部门	上海市妇女联合会	1992-10-28 00:00:00	400万元		200030	Shanghai Shi	Shanghai	[31.197018, 121.43973]		杨定华	张辰	邓杏琴	办公室主任	021-64330001-6504	021-64312077				0.0	6.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			60.0	533100005017734741
61	2013	上海市医药卫生发展基金会	Shanghai Health and Medical Development F	沪民基证字第0131号	50178195-X	遵守国家宪法、法律、法规和国家政策，依据国家关于加强基金会管理及发展卫生事业的方针和政策法规，筹措医药卫生发展资金，资助卫生公益事业，推动科技创新，扶持卫生人才，促进医学	资助医药卫生公益事业、基础性和转化医学研究、科技创新、人才培养项目，奖励有突出贡献者；资助医药卫生的合作与交流。（涉及行政许可的，凭许可证开展业务。）	公募	地方	省级民政部门	上海市卫生局	2012-06-04 00:00:00	400万元		200040	Shanghai Shi	Shanghai	[31.226704, 121.4479]	http://www.shmhdf.com/pages/jjh/index.shtml	李宣海	黄波	邹慧双	财务主管	021-22121813	021-22121811		0.0	0.0	4.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			61.0	5331000050178195X2
62	2013	上海市华东师范大学教育发展基金会	Shanghai East China Normal University Edu	沪民基证字第0079号	501780471	争取社会各界的支持和捐助，为提高教学质量和学术水平、推动教师教育事业和社会公益事业的发展服务。  	支持教学科研；奖励优秀师生；奖励优秀师生；资助学术交流与合作。        	非公募	地方	省级民政部门	上海市教育委员会	2007-12-28 00:00:00	500万元		200062	Shanghai Shi	Shanghai	[31.22922, 121.40879]	http://foundation.ecnu.edu.cn 	童世骏	杨伟民	徐扣林	教师	021-54345217	021-54344772	foundation@admin.ecnu.edu.cn			0.0	450.0	4A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			62.0	53310000501780471R
